,institute,callret-1,lat,long
107,https://w3id.org/arco/resource/CulturalInstituteOrSite/c9da7f10c29b3ac2515d02abf1d3c4c9,3,43.909921,12.912702
108,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/3bd3510a0c23b2a4a5b3cd7fb0fbe280,2,5061334.8573,551536.21907
109,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/7a07fe7a6962f7b81a32bf5994438327,1,45.48526771610872,9.192235734796343
110,https://w3id.org/arco/resource/CulturalInstituteOrSite/cdaa2d16b4053e32260e25600738bc18,550,43.911161,12.913268
111,https://w3id.org/arco/resource/CulturalInstituteOrSite/83917dc43bb5d7fe651062fe8115b61f,149,42.816846,10.331989
112,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/755d851cbd4ece75472b1fafa7cf65c3,1,45.462324415902856,9.17046553310068
113,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/aeefd4cba74157757b75e0ce446eedeb,4039,5036110.3928,620680.00165
114,https://w3id.org/arco/resource/CulturalInstituteOrSite/7683d52e80e904e5751117e85d239a4b,1,4492539,434206
115,https://w3id.org/arco/resource/CulturalInstituteOrSite/b0ffc98d3f1791f717f71895d2322838,1,43.716359,10.397683
116,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_SVM,14,46.6366403,10.56773939
117,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,3,46.657438,11.9313828
118,https://w3id.org/arco/resource/CulturalInstituteOrSite/DBunicoCG113638,1,45.702363249,13.712288485
119,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_SME,4,46.6937501,12.08517156
120,https://w3id.org/arco/resource/CulturalInstituteOrSite/ff1dc858f3c6d6e2a39399765c429f70,3,40.914754,14.998750
121,https://w3id.org/arco/resource/CulturalInstituteOrSite/7683d52e80e904e5751117e85d239a4b,2,4499870,471788
122,https://w3id.org/arco/resource/CulturalInstituteOrSite/246cb764ea022d1f0e0aef28d79c029c,1,44.664184,10.924535
123,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,1,46.611739,11.533345
124,https://w3id.org/arco/resource/CulturalInstituteOrSite/4284fa15cc4e68c8c7b549525b5e3397,3,4339319,475768
125,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/3b6818a23ee742f9bf4c83d96b425d91,25,45.47100510415553,9.179692684973944
126,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_STM,10,46.53039044,10.95887443
127,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_STM,1,46.272963,11.181174
128,https://w3id.org/arco/resource/CulturalInstituteOrSite/DBunicoCG113638,1,45.702400794,13.712338999
129,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/2d58fb13403e11b50cbcb5f8830a1a88,1,5034325.0015,513326.80567
130,https://w3id.org/arco/resource/CulturalInstituteOrSite/c83f53a6b91b198bc2a59619616a2321,99,43.957006,10.231555
131,https://w3id.org/arco/resource/CulturalInstituteOrSite/03b913bab43d77ae1335a878ebf638e3,1,42.775614,12.409693
132,https://w3id.org/arco/resource/CulturalInstituteOrSite/d71ca5f3a1769a382e30c856f6149961,2,39.223206,9.118276
133,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,1,46.248758,11.032854
134,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/2b02d29f81dd0bf2257e356b39780399,2,46.17698892556341,9.981749668813436
135,https://w3id.org/arco/resource/CulturalInstituteOrSite/ICCD_CG_2412726210661,20,45.067563,7.689724
136,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,2,46.680828,11.892933
137,https://w3id.org/arco/resource/CulturalInstituteOrSite/DBunicoCG113638,1,45.702503324,13.712240652
138,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,50,46.68841579,10.93340398
139,https://w3id.org/arco/resource/CulturalInstituteOrSite/38c766b7157781dbadd899e861a82fd5,20,45.070596,7.684717
140,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_STM,4,46.39173683,11.41314252
141,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_SME,5,46.58657091,11.25556773
142,https://w3id.org/arco/resource/CulturalInstituteOrSite/7683d52e80e904e5751117e85d239a4b,1,4337185,512636
143,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_STM,11,46.45510201,11.26010595
144,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,2,46.316523,10.76713
145,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/9246580fa83528afdcd9015c8e6cb1fd,1,5043612.0847,595878.8337
146,https://w3id.org/arco/resource/CulturalInstituteOrSite/7484fbd0c8c56a9c875f0519dd431557,42,41.22386122,9.430426
147,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/c90ce73becd4d688c84d3100671a5fea,2,46.1712480806852,9.871952568954292
148,https://w3id.org/arco/resource/CulturalInstituteOrSite/3e3883176b12a078da3d53fb9e31cd2f,284,41.109348,16.878965
149,https://w3id.org/arco/resource/CulturalInstituteOrSite/DBunicoCG113638,1,45.702410426,13.712265686
150,https://w3id.org/arco/resource/CulturalInstituteOrSite/f1ef7fccd719f118d0380a6ae128fe92,144,43.495717,13.128554
151,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,3,46.498518,11.353397
