"label","labelO","labelCi"
"Apertura straordinaria del Castello Scaligero di Sirmone","Indirizzo della Sede di: Castello Scaligero di Sirmione","Sirmione"
"apertura festiva","Indirizzo della Sede di: Castello di Moncalieri","Moncalieri"
"Apertura straordinaria del Castello Svevo di Bari","Indirizzo della Sede di: Castello svevo di Bari","Bari"
"Apertura straordinaria del Castello Svevo di Trani","Indirizzo della Sede di: Castello svevo di Trani","Trani"
"Apertura straordinaria del Museo del Cenacolo Vinciano","Indirizzo della Sede di: Cenacolo Vinciano","Milano"
"Apertura della Certosa Monumentale di Calci per Santo Stefano","Indirizzo della Sede di: Certosa monumentale di Calci","Calci"
"Apertura straordinaria del Museo della Certosa di Pavia","Indirizzo della Sede di: Complesso Monumentale e Museo della Certosa di Pavia","Certosa di Pavia"
"apertura festiva","Indirizzo della Sede di: Complesso monumentale del Castello Ducale, giardino e parco di Aglié","Agliè"
"apertura straordinaria","Indirizzo della Sede di: Complesso monumentale del Castello e Parco di Racconigi","Racconigi"
"I musei della Direzione regionale Toscana aperti per le feste, con mostre, visite guidate e sezioni per bambini","Indirizzo della Sede di: Direzione Regionale Musei Toscana","Firenze"
"Apertura della Fortezza di Santa Barbara","Indirizzo della Sede di: Fortezza di Santa Barbara","Pistoia"
"Apertura straordinaria della Galleria Nazionale ""Devanna""","Indirizzo della Sede di: Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","Bitonto"
"Apertura lunedì 26 dicembre","Indirizzo della Sede di: Gallerie dell'Accademia di Venezia","Venezia"
"Apertura 2 gennaio 2023","Indirizzo della Sede di: Gallerie dell'Accademia di Venezia","Venezia"
"Apertura festiva 1 gennaio 2023","Indirizzo della Sede di: Gallerie dell'Accademia di Venezia","Venezia"
"Apertura straordinaria del Giardino della Villa medicea di Castello","Indirizzo della Sede di: Giardino della Villa a Castello","Firenze"
"Il Parco di Villa il Ventaglio aperto per Santo Stefano","Indirizzo della Sede di: Giardino di Villa Il Ventaglio","Firenze"
"Apertura straordinaria del Castello Scaligero di Sirmone_Copia","Indirizzo della Sede di: Grotte di Catullo e Museo Archeologico di Sirmione","Sirmione"
"Apertura straordinaria del Castello Scaligero di Sirmone_Copia_Copia","Indirizzo della Sede di: Grotte di Catullo e Museo Archeologico di Sirmione","Sirmione"
"Apertura straordinaria del MUPRE – Museo Nazionale della Preistoria della Valle Camonica","Indirizzo della Sede di: MUPRE - Museo Nazionale della Preistoria della Valle Camonica","Capo di Ponte"
"Apertura straordinaria del MUPRE – Museo Nazionale della Preistoria della Valle Camonica_Copia","Indirizzo della Sede di: MUPRE - Museo Nazionale della Preistoria della Valle Camonica","Capo di Ponte"
"Apertura straordinaria del Museo Archeologico Nazionale della Valle Camonica","Indirizzo della Sede di: Museo Archeologico Nazionale della Valle Camonica","Cividate Camuno"
"Apertura straordinaria del Museo Archeologico Nazionale della Valle Camonica_Copia","Indirizzo della Sede di: Museo Archeologico Nazionale della Valle Camonica","Cividate Camuno"
"Apertura straordinaria del Museo Gaio Cilnio Mecenate","Indirizzo della Sede di: Museo archeologico nazionale “Gaio Cilnio Mecenate”","Arezzo"
"Apertura festiva del Museo e Parco Archeologico di Egnazia","Indirizzo della Sede di: Museo archeologico nazionale “Giuseppe Andreassi” e Parco archeologico di Egnazia","Fasano"
"Apertura straordinaria della Cappella Espiatoria_Copia","Indirizzo della Sede di: Museo archeologico nazionale della Lomellina","Vigevano"
"Apertura straordinaria della Cappella Espiatoria_Copia_Copia","Indirizzo della Sede di: Museo archeologico nazionale della Lomellina","Vigevano"
"Il Museo Archeologico Nazionale di Firenze aperto per Santo Stefano","Indirizzo della Sede di: Museo archeologico nazionale di Firenze","Firenze"
"Apertura straordinaria del Museo di Casa Giusti","Indirizzo della Sede di: Museo di Casa Giusti","Monsummano Terme"
"Apertura del Museo di Casa Vasari","Indirizzo della Sede di: Museo di Casa Vasari","Arezzo"
"“ABC del Tamburello Tradizionale Calabrese” al Museo archeologico nazionale di Locri (RC)","Indirizzo della Sede di: Museo e Parco archeologico nazionale di Locri","Locri"
"Apertura straordinaria del Museo Nazionale Jatta","Indirizzo della Sede di: Museo nazionale Jatta","Ruvo di Puglia"
"Apertura straordinaria del Castello e Museo Archeologico di Manfredonia","Indirizzo della Sede di: Museo nazionale archeologico e Castello di Manfredonia","Manfredonia"
"Apertura della Palazzina dei Mulini","Indirizzo della Sede di: Museo nazionale delle residenze Napoleoniche ""Palazzina dei Mulini""","Portoferraio"
"Apertura straordinaria di Villa San Martino","Indirizzo della Sede di: Museo nazionale delle residenze Napoleoniche ""Villa di San Martino""","Portoferraio"
"Apertura straordinaria e visita guidata per Santo Stefano","Indirizzo della Sede di: Museo nazionale di San Matteo","Pisa"
"Apertura straordinaria del Museo di Villa Guinigi","Indirizzo della Sede di: Museo nazionale di Villa Guinigi","Lucca"
"Apertura straordinaria del Parco Nazionale delle Incisioni Rupestri di Naquane_Copia","Indirizzo della Sede di: Palazzo Besta","Teglio"
"apertura festiva","Indirizzo della Sede di: Palazzo Carignano","Torino"
"Apertura straordinaria del Museo Archeologico Nazionale di Canosa di Puglia","Indirizzo della Sede di: Palazzo Sinesi","Canosa di Puglia"
"Apertura straordinaria del Parco Archeologico Nazionale dei Massi di Cemmo","Indirizzo della Sede di: Parco Archeologico Nazionale dei Massi di Cemmo","Capo di Ponte"
"Apertura straordinaria del Parco Archeologico Nazionale dei Massi di Cemmo_Copia","Indirizzo della Sede di: Parco Archeologico Nazionale dei Massi di Cemmo","Capo di Ponte"
"Apertura straordinaria del Parco Nazionale delle Incisioni Rupestri di Naquane","Indirizzo della Sede di: Parco Nazionale delle Incisioni Rupestri","Capo di Ponte"
"Apertura straordinaria di Monte Sannace","Indirizzo della Sede di: Parco archeologico di Monte Sannace","Gioia del Colle"
"Apertura straordinaria del Parco Archeologico di Siponto","Indirizzo della Sede di: Parco archeologico di Siponto","Manfredonia"
"Apertura straordinaria del Museo di Palazzo Mansi","Indirizzo della Sede di: Pinacoteca Nazionale e Museo di Palazzo Mansi","Lucca"
"Apertura straordinaria del Museo Archeologico Nazionale della Valle Camonica_Copia","Indirizzo della Sede di: Villa Romana e Antiquarium","Desenzano del Garda"
"Apertura straordinaria del Museo Archeologico Nazionale della Valle Camonica_Copia_Copia","Indirizzo della Sede di: Villa Romana e Antiquarium","Desenzano del Garda"
"Apertura straordinaria della Villa medicea della Petraia","Indirizzo della Sede di: Villa medicea della Petraia","Firenze"
"Apertura straordinaria della Villa medicea di Cerreto Guidi","Indirizzo della Sede di: Villa medicea di Cerreto Guidi e Museo storico della Caccia e del Territorio","Cerreto Guidi"
"Apertura straordinaria della Villa medicea di Poggio a Caiano","Indirizzo della Sede di: Villa medicea di Poggio a Caiano e Giardino","Poggio a Caiano"
"Apertura straordinaria dell'Antiquarium e Parco Archeologico di Canne della Battaglia","Indirizzo della Sede di: Antiquarium e zona archeologica di Canne della Battaglia","Barletta"
"Apertura straordinaria e visite guidate_Copia_Copia","Indirizzo della Sede di: Area archeologica di Comeana - Tumuli di Montefortini e Boschetti","Carmignano"
"Apertura straordinaria dell'Area Archeologica di Cosa_Copia","Indirizzo della Sede di: Area archeologica di Cosa","Orbetello"
"Apertura straordinaria dell'Area Archeologica di Roselle_Copia","Indirizzo della Sede di: Area archeologica di Roselle","Grosseto"
"Apertura straordinaria dell'Ara Archeologica di Vetulonia_Copia","Indirizzo della Sede di: Area archeologica di Vetulonia","Castiglione della Pescaia"
"Apertura della Basilica di San Francesco ad Arezzo","Indirizzo della Sede di: Basilica di San Francesco - Arezzo","Arezzo"
"Apertura festiva di Castel del Monte","Indirizzo della Sede di: Castel del Monte","Andria"
"I musei della Direzione regionale Toscana aperti per le feste, con mostre, visite guidate e sezioni per bambini_Copia","Indirizzo della Sede di: Direzione Regionale Musei Toscana","Firenze"
"Apertura della Fortezza di Santa Barbara_Copia","Indirizzo della Sede di: Fortezza di Santa Barbara","Pistoia"
"Apertura della Galleria Nazionale della Puglia ""Devanna""","Indirizzo della Sede di: Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","Bitonto"
"Apertura straordinaria della Villa medicea della Petraia_Copia","Indirizzo della Sede di: Giardino della Villa a Castello","Firenze"
"Il Parco di Villa il Ventaglio aperto per Santo Stefano_Copia","Indirizzo della Sede di: Giardino di Villa Il Ventaglio","Firenze"
"Apertura del Museo Nazionale Gaio Cilnio Mecenate e Anfiteatro romano","Indirizzo della Sede di: Museo archeologico nazionale “Gaio Cilnio Mecenate”","Arezzo"
"Apertura del Museo e Parco Archeologico di Egnazia","Indirizzo della Sede di: Museo archeologico nazionale “Giuseppe Andreassi” e Parco archeologico di Egnazia","Fasano"
"Apertura Museo archeologico nazionale di Firenze","Indirizzo della Sede di: Museo archeologico nazionale di Firenze","Firenze"
"Apertura del Castello e Museo Archeologico di Gioia del Colle","Indirizzo della Sede di: Museo archeologico nazionale e Castello di Gioia del Colle","Gioia del Colle"
"Apertura straordinaria Museo delle Arti e Tradizioni Popolari dell’Alta Valle del Tevere","Indirizzo della Sede di: Museo delle arti e tradizioni popolari dell’Alta Valle del Tevere - Palazzo Taglieschi","Anghiari"
"Apertura straordinaria del Museo di Casa Giusti_Copia","Indirizzo della Sede di: Museo di Casa Giusti","Monsummano Terme"
"Apertura del Museo di Casa Vasari ad Arezzo","Indirizzo della Sede di: Museo di Casa Vasari","Arezzo"
"Apertura straordinaria del Museo di San Marco_Copia_Copia","Indirizzo della Sede di: Museo di San Marco","Firenze"
"Apertura straordinaria della mostra ""Collezionauta"" a Palazzo Jatta","Indirizzo della Sede di: Museo nazionale Jatta","Ruvo di Puglia"
"Apertura del Museo Archeologico di Altamura","Indirizzo della Sede di: Museo nazionale archeologico di Altamura","Altamura"
"Apertura straordinaria del Museo Nazionale d'Arte Medievale e Moderna","Indirizzo della Sede di: Museo nazionale d'arte medievale e moderna","Arezzo"
"Apertura della Palazzina dei Mulini_Copia","Indirizzo della Sede di: Museo nazionale delle residenze Napoleoniche ""Palazzina dei Mulini""","Portoferraio"
"Ferragosto al Museo Nazionale delle Residenze Napoleoniche Villa San Martino_Copia","Indirizzo della Sede di: Museo nazionale delle residenze Napoleoniche ""Villa di San Martino""","Portoferraio"
"Apertura del Museo Nazionale di Palazzo Reale di Pisa","Indirizzo della Sede di: Museo nazionale di Palazzo Reale","Pisa"
"Apertura straordinaria del Museo di San Matteo","Indirizzo della Sede di: Museo nazionale di San Matteo","Pisa"
"Apertura straordinaria  del Museo di Villa Guinigi a Lucca","Indirizzo della Sede di: Museo nazionale di Villa Guinigi","Lucca"
"Apertura del Museo Nazionale Etrusco di Chiusi","Indirizzo della Sede di: Museo nazionale etrusco, Necropoli di Poggio Renzo e Tomba del Colle","Chiusi"
"Apertura straordinaria del Museo Archeologico Nazionale di Canosa","Indirizzo della Sede di: Palazzo Sinesi","Canosa di Puglia"
"Apertura straordinaria del Parco Archeologico di Monte Sannace","Indirizzo della Sede di: Parco archeologico di Monte Sannace","Gioia del Colle"
"Apertura straordinaria del Museo di Palazzo Mansi a Lucca","Indirizzo della Sede di: Pinacoteca Nazionale e Museo di Palazzo Mansi","Lucca"
"Apertura straordinaria della Villa medicea di Cerreto Guidi_Copia","Indirizzo della Sede di: Villa medicea di Cerreto Guidi e Museo storico della Caccia e del Territorio","Cerreto Guidi"
"Apertura straordinaria della Villa medicea di Poggio a Caiano_Copia","Indirizzo della Sede di: Villa medicea di Poggio a Caiano e Giardino","Poggio a Caiano"
"Apertura straordinaria a Capodanno","Indirizzo della Sede di: Museo archeologico nazionale del Melfese ""Massimo Pallottino""","Melfi"
"La memoria del male Persecuzione degli ebrei varesini","Indirizzo della Sede di: Archivio di Stato di Varese","Varese"
"LE GALLERIE PER TUTTI! APPUNTAMENTI SPECIALI PER I VISITATORI IPOVEDENTI E NON VEDENTI","Indirizzo della Sede di: Gallerie dell'Accademia di Venezia","Venezia"
"LE GALLERIE PER TUTTI!","Indirizzo della Sede di: Gallerie dell'Accademia di Venezia","Venezia"
"Verga tra scrittura letteraria e scrittura epistolare","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"Un'altra Voghera di Giulio Guderzo, Umberto Magnani e Giuseppe Calvi","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"Dantedì 2022 – “a dir di Sardigna le lingue lor non si senton stanche” – Dante nella Biblioteca Universitaria di Sassari","Indirizzo della Sede di: Biblioteca Universitaria di Sassari","Sassari"
"Dantedì 25 marzo 2022","Indirizzo della Sede di: Villa Adriana e Villa d'Este - Villa d'Este","Tivoli"
"Finissage della mostra La figlia del Papa","Indirizzo della Sede di: Archivio di Stato di Torino","Torino"
"Presentazione volume ""Annali""","Indirizzo della Sede di: Biblioteca Statale di Cremona","Cremona"
"IncontrArti - Storia e storie migranti alla Certosa | Il Cibo","Indirizzo della Sede di: Certosa e Museo di San Martino","Napoli"
"Proroga della mostra ""di mano di Jacopo da Pontormo""","Indirizzo della Sede di: Istituto Centrale per la Grafica","Roma"
"Dantedì 2022","Indirizzo della Sede di: Soprintendenza Archivistica e Bibliografica della Puglia","Bari"
"Castello Bufalini. Le stanze mai viste, i sentieri mai percorsi.","Indirizzo della Sede di: Castello Bufalini","San Giustino"
"MATTOTTI / INFERNO Disegni danteschi","Indirizzo della Sede di: Direzione Regionale Musei Friuli Venezia Giulia","San Vito al Tagliamento"
"TRA SELVA E STELLE: DAL TEATRO DEL GIARDINO DI BOBOLI A SERIE VIDEO","Indirizzo della Sede di: Gallerie degli Uffizi","Firenze"
"LA LECTIO DANTIS DEL PROFESSOR BILL SHERMAN, DIRETTORE DEL WARBURG INSTITUTE DI LONDRA","Indirizzo della Sede di: Gallerie degli Uffizi","Firenze"
"UFFIZI: ESPOSTO AL PUBBLICO L’AFFRESCO RAFFIGURANTE DANTE ALIGHIERI, DI ANDREA DEL CASTAGNO","Indirizzo della Sede di: Gallerie degli Uffizi","Firenze"
"Incontri al Museo 2021 - 2022. Mino Gabriele presenta ""I sette talismani dell’Impero""_Copia","Indirizzo della Sede di: Museo archeologico nazionale di Firenze","Firenze"
"Le figure femminili nei dipinti delle collezioni del museo","Indirizzo della Sede di: Museo nazionale di Palazzo Reale","Pisa"
"La scrittura degli etruschi","Indirizzo della Sede di: Museo archeologico nazionale dell'Umbria","Perugia"
"Visita guidata alla mostra Chernobyl - Pripyat","Indirizzo della Sede di: Museo archeologico nazionale dell'Umbria","Perugia"
"I virtuosi del Grifo in concerto","Indirizzo della Sede di: Museo archeologico nazionale dell'Umbria","Perugia"
