"label","labelO","labelCi"
"“Un Museo da scoprire. Viaggio nel tempo nella storia e nelle collezioni”","Indirizzo della Sede di: Museo Boncompagni Ludovisi per le arti decorative, il costume e la moda dei secoli XIX e XX","Roma"
"Podcast del Museo Hendrik Christian Andersen","Indirizzo della Sede di: Museo Hendrik Christian Andersen","Roma"
"“Hendrik Christian Andersen. Una biografia italo-americana”","Indirizzo della Sede di: Museo Hendrik Christian Andersen","Roma"
"Visita guidata all'esposizione “Hendrik Christian Andersen. Una biografia italo-americana”","Indirizzo della Sede di: Museo Hendrik Christian Andersen","Roma"
"Percorso tematico e Serenata al museo","Indirizzo della Sede di: Museo archeologico nazionale La Civitella di Chieti","Chieti"
"IL GUERRIERO DI CAPESTRANO: DALLA NECROPOLI ALLA SALA DI MIMMO PALADINO","Indirizzo della Sede di: Museo archeologico nazionale d'Abruzzo - Villa Frigerj","Chieti"
"Giornate Europee del Patrimonio - Apertura notturna al Museo Archeologico Nazionale di Cagliari","Indirizzo della Sede di: Museo archeologico nazionale di Cagliari","Cagliari"
"GEP 2022 al Museo Archeologico Nazionale di Ferrara","Indirizzo della Sede di: Museo archeologico nazionale di Ferrara - Palazzo Costabili","Ferrara"
"Workshop ""Un giorno all'anno per tutto l'anno"" al Museo di Fratta Polesine_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Museo archeologico nazionale di Fratta Polesine","Fratta Polesine"
"GEP 2022 al Museo Archeologico Nazionale di Sarsina","Indirizzo della Sede di: Museo archeologico nazionale di Sarsina","Sarsina"
"Museo dell'Opificio delle Pietre Dure. Apertura straordinaria con visita guidata - 16 settembre 2022_Copia_Copia_Copia","Indirizzo della Sede di: Museo dell'Opificio delle Pietre Dure","Firenze"
"Ieri come oggi intrecci di fili e di suoni","Indirizzo della Sede di: Museo delle tradizioni agroalimentari della Sardegna - Casa Steri","Siddi"
"GEP 2022 al Museo di Casa Romei","Indirizzo della Sede di: Museo di Casa Romei","Ferrara"
"Visita alla Chiesa di San Gennaro nel Real Bosco di Capodimonte in occasione della festa di San Gennaro","Indirizzo della Sede di: Museo e Real Bosco di Capodimonte","Napoli"
"Treno e ferrociclo: il piacere di viaggiare in modo sostenibile","Indirizzo della Sede di: Museo ferroviario piemontese","Savigliano"
"Piccoli artisti in viaggio","Indirizzo della Sede di: Museo ferroviario piemontese","Savigliano"
"Notte in musica al Museo Ferroviario Piemontese","Indirizzo della Sede di: Museo ferroviario piemontese","Savigliano"
"GEP 2022 al Museo Nazionale di Ravenna","Indirizzo della Sede di: Museo nazionale di Ravenna","Ravenna"
"GEP 2022 al Museo Nazionale Etrusco di Marzabotto","Indirizzo della Sede di: Museo nazionale etrusco ""Pompeo Aria"" ed area archeologica di Kainua - Marzabotto","Marzabotto"
"Laboratori di restauro dell'Opificio delle Pietre Dure. Apertura straordinaria con visita guidata - 24 settembre 2022","Indirizzo della Sede di: Opificio delle Pietre Dure","Firenze"
"Attori - Esperienze archeologiche in terra di Bari","Indirizzo della Sede di: Palazzo Simi - Centro operativo per l'Archeologia","Bari"
"GEP 2022 al Palazzo di Teodorico","Indirizzo della Sede di: Palazzo di Teodorico","Ravenna"
"Rubens a Genova","Indirizzo della Sede di: Palazzo ducale di Genova","Genova"
"Musica al tempo di Guidobaldo II della Rovere","Indirizzo della Sede di: Palazzo ducale di Gubbio","Gubbio"
"Giornate Europee del Patrimonio 2022 - Area archeologica dei Porti Imperiali di Claudio e Traiano","Indirizzo della Sede di: Parco archeologico di Ostia antica - Area archeologica dei Porti Imperiali di Claudio e Traiano","Fiumicino"
"Giornate Europee del Patrimonio 2022 - Area archeologica di Ostia antica","Indirizzo della Sede di: Parco archeologico di Ostia antica - Area archeologica di Ostia antica","Roma"
"Giornate Europee del Patrimonio 2022 - Necropoli di Porto all'Isola Sacra","Indirizzo della Sede di: Parco archeologico di Ostia antica - Necropoli di Porto - Isola Sacra","Fiumicino"
"Aiutiamo il nostro Pianeta!","Indirizzo della Sede di: Pinacoteca dell’accademia Albertina di belle arti","Torino"
"RESTAURI E COLLEZIONI D'ARTE A PALAZZO ECONOMO - APERTURA STRAORDINARIA CON VISITE GUIDATE","Indirizzo della Sede di: Segretariato Regionale del Ministero della cultura per il Friuli Venezia Giulia","Trieste"
"Il Nuraghe Nolza e il suo legame con il territorio tra passato, presente e futuro.","Indirizzo della Sede di: Sito archeologico Nuraghe Nolza","Meana Sardo"
"Dialoghi di Terzorio. Paesi e futuro","Indirizzo della Sede di: Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Imperia e Savona","Terzorio"
"Frontespazio. WE need to TALK!","Indirizzo della Sede di: Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Imperia e Savona","Savona"
"Giornate Europee del Patrimonio 2022.  Villa Adriana, Villa d'Este e Santuario di Ercole Vincitore.","Indirizzo della Sede di: Villa Adriana e Villa d'Este - Area archeologica di Villa Adriana","Tivoli"
"Giornate Europee del Patrimonio 2022.  Villa Adriana, Villa d'Este e Santuario di Ercole Vincitore.","Indirizzo della Sede di: Villa Adriana e Villa d'Este - Santuario di Ercole Vincitore","Tivoli"
"Giornate Europee del Patrimonio 2022.  Villa Adriana, Villa d'Este e Santuario di Ercole Vincitore.","Indirizzo della Sede di: Villa Adriana e Villa d'Este - Villa d'Este","Tivoli"
"GEP 2022 alla Villa romana di Russi","Indirizzo della Sede di: Villa romana di Russi","Russi"
"Giornate europee del patrimonio, 24-25 settembre 2022","Indirizzo della Sede di: Archivio di Stato dell'Aquila","L'Aquila"
"Giornate Europee del Patrimonio. Patrimonio culturale sostenibile: un'eredità per il futuro","Indirizzo della Sede di: Museo archeologico nazionale della Siritide - Policoro","Policoro"
"GIORNATE EUROPEE DEL PATRIMONIO: VIENI ALLA GALLERIA BORGHESE!","Indirizzo della Sede di: Museo e Galleria Borghese","Roma"
"GIORNATE EUROPEE DEL PATRIMONIO: VIENI ALLA GALLERIA BORGHESE! APERTURA SERALE","Indirizzo della Sede di: Museo e Galleria Borghese","Roma"
"Giornatr europee del patrimonio 20200- L'Archivio racconta","Indirizzo della Sede di: Archivio di Stato di Trapani","Trapani"
"Giornate GEP 2022","Indirizzo della Sede di: Biblioteca Universitaria di Pisa","Pisa"
"Gli stemmi araldici nella ceramica","Indirizzo della Sede di: Direzione Regionale Musei Lazio","Viterbo"
"Gli scavi della Loggia di Banchi","Indirizzo della Sede di: Loggia della Mercanzia o Loggia di Banchi","Genova"
"L’Abbazia di Montecassino com’era e com’è","Indirizzo della Sede di: Abbazia di Montecassino","Cassino"
"Il seme della cultura - Abbazia di Santo Spirito al Morrone","Indirizzo della Sede di: Abbazia di Santo Spirito al Morrone","Sulmona"
"In bicicletta nella Riserva del Litorale Romano","Indirizzo della Sede di: Direzione Musei Statali della Città di Roma","Roma"
"Iniziative GEP 2022 al Museo archeologico Metauros","Indirizzo della Sede di: Museo archeologico Metauros","Gioia Tauro"
"Iniziative GEP 2022 al Museo archeologico lametino","Indirizzo della Sede di: Museo archeologico lametino","Lamezia Terme"
"La villa di Massenzio","Indirizzo della Sede di: Direzione Musei Statali della Città di Roma","Roma"
"Lanterna 2030 - Sustainable Herit@GE","Indirizzo della Sede di: Direzione Regionale Musei Liguria","Genova"
"Le GEP a Palazzo Patrizi Clementi. Apertura straordinaria","Indirizzo della Sede di: Soprintendenza Archeologia, Belle Arti e Paesaggio per l'area Metropolitana di Roma e per la Provincia di Rieti","Roma"
"Le GEP a Palazzo Patrizi Clementi. Apertura serale","Indirizzo della Sede di: Soprintendenza Archeologia, Belle Arti e Paesaggio per l'area Metropolitana di Roma e per la Provincia di Rieti","Roma"
"Le GEP al Mitreo di Marino","Indirizzo della Sede di: Soprintendenza Archeologia, Belle Arti e Paesaggio per l'area Metropolitana di Roma e per la Provincia di Rieti","Marino"
"Le GEP al Mitreo di Marino. Apertura serale","Indirizzo della Sede di: Soprintendenza Archeologia, Belle Arti e Paesaggio per l'area Metropolitana di Roma e per la Provincia di Rieti","Marino"
"Ma come ti vesti? ...e ti rivesti?","Indirizzo della Sede di: Archivio di Stato di Piacenza","Piacenza"
"MAN Cividale - GEP 2022","Indirizzo della Sede di: Museo archeologico nazionale di Cividale del Friuli","Cividale del Friuli"
"MAN Cividale - GEP 2022: visita guidata e laboratori per bambini e famiglie","Indirizzo della Sede di: Museo archeologico nazionale di Cividale del Friuli","Cividale del Friuli"
"Massenzio 2035 Magnificat","Indirizzo della Sede di: Museo nazionale romano - Palazzo Altemps","Roma"
"Loggia di Banchi, Genova. Un cantiere archeologico per il nuovo Museo della Città","Indirizzo della Sede di: Soprintendenza Archeologia, Belle Arti e Paesaggio per la città metropolitana di Genova e la provincia di La Spezia","Genova"
"Notte dei Borghi dell’Archeologia – patrimonio sostenibile per paesi vivi","Indirizzo della Sede di: Direzione Regionale Musei Lazio","Bassano in Teverina"
"Paesaggi mobili, approdi e vie d’acqua","Indirizzo della Sede di: Direzione Regionale Musei Sardegna","Cagliari"
"Nino Rota il musico delle immagini","Indirizzo della Sede di: Museo nazionale degli strumenti musicali","Roma"
"Note barocche al Museo","Indirizzo della Sede di: Museo nazionale degli strumenti musicali","Roma"
"Parco Archeologico dell'Appia Antica. Complesso di Capo di Bove. Villa dei Quintili. Workshop di fotografia con Claudia Primangeli","Indirizzo della Sede di: Parco archeologico dell'Appia antica  - Mausoleo di Cecilia Metella e Chiesa di San Nicola","Roma"
"VALORIZZAZIONE DEL PATRIMONIO BIBLIOGRAFICO DELL’ARCHIVIO DI STATO DI TERAMO LA CATALOGAZIONE IN SBN DELLE CINQUECENTINE","Indirizzo della Sede di: Archivio di Stato di Teramo","Teramo"
"Usi e Riusi. Piazza e Porta del Popolo","Indirizzo della Sede di: Direzione Musei Statali della Città di Roma","Roma"
"Una porta da scoprire","Indirizzo della Sede di: Direzione Musei Statali della Città di Roma","Roma"
"UNO SGUARDO DALLA TORRE","Indirizzo della Sede di: Direzione Regionale Musei Liguria","Deiva Marina"
"UNIVERSI PARALLELI e IL CARDINAL MONTALTO E VILLA LANTE","Indirizzo della Sede di: Villa Lante","Viterbo"
"GEP 2022 - Forme dell’abitare in epoca daunia: l’insediamento di Canne della Battaglia","Indirizzo della Sede di: Antiquarium e zona archeologica di Canne della Battaglia","Barletta"
"GEP 2022 - Patrimonio culturale sostenibile: un'eredità per il futuro","Indirizzo della Sede di: Archivio di Stato di Trento","Trento"
"Superga - ingresso ridotto spazi museali – apertura straordinaria serale salita in cupola","Indirizzo della Sede di: Basilica di Superga","Torino"
"Home » Eventi e novità » Eventi » Per le GIORNATE EUROPEE DEL PATRIMONIO SPECIALE! Messaggio di stato Eventi Per le GIORNATE EUROPEE DEL PATRIMONIO SPECIALE! è stato aggiornato. Per le GIORNATE EUROPEE DEL PATRIMONIO SPECIALE!","Indirizzo della Sede di: Biblioteca Nazionale Marciana di Venezia","Venezia"
"Mostra","Indirizzo della Sede di: Biblioteca Statale di Cremona","Cremona"
"A spasso! Paesaggio Museo Diffuso: da Villa Cerulli alla Bigattiera Trifoni","Indirizzo della Sede di: Direzione Regionale Musei Abruzzo","Giulianova"
"Van Gogh","Indirizzo della Sede di: Direzione Regionale Musei Lazio","Roma"
"La Comunità educante Generatore di Sviluppo","Indirizzo della Sede di: Direzione Regionale Musei Veneto","Thiene"
"Scopriamo la canapa… sul filo del tempo","Indirizzo della Sede di: Direzione Regionale Musei Veneto","Megliadino San Vitale"
"Il Trionfo della Natura_Copia","Indirizzo della Sede di: Direzione Regionale Musei Veneto","Feltre"
"Il Giardino sostenibile: “Never against the nature”","Indirizzo della Sede di: Giardini botanici Hanbury - Centro universitario di servizi","Ventimiglia"
"Presentazione della riproduzione tattile della Chimera di Arezzo","Indirizzo della Sede di: Museo archeologico nazionale “Gaio Cilnio Mecenate” e Anfiteatro romano","Arezzo"
"GEP 2022 - Egnazia sotto le stelle","Indirizzo della Sede di: Museo archeologico nazionale “Giuseppe Andreassi” e Parco archeologico di Egnazia","Fasano"
"GEP 2022 al Museo Archeologico Nazionale di Canosa di Puglia","Indirizzo della Sede di: Museo archeologico nazionale di Canosa di Puglia - Palazzo Sinesi","Canosa di Puglia"
"Storie e memorie per disegnare il futuro","Indirizzo della Sede di: Museo dell'ossidiana","Pau"
"Apertura pomeridiana straordinaria e visite guidate per le GEP 2022","Indirizzo della Sede di: Museo di San Marco","Firenze"
"Museo Nazionale Collezione Salce, 2 sedi per la più importante raccolta Italiana di manifesti storici_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Museo nazionale Collezione Salce sede di San Gaetano","Treviso"
"“Patrimonio culturale sostenibile: un’eredità per il futuro”. Aperture straordinarie con visite guidate.","Indirizzo della Sede di: Pinacoteca Carlo Levi","Alassio"
"GEP 2022 “Patrimonio culturale sostenibile: un’eredità per il futuro”.  Aperture straordinarie con visite guidate","Indirizzo della Sede di: Richard West memorial gallery","Alassio"
"Apertura straordinaria della tenuta Sampieri-Talon di Argelato: la villa, il parco, il fiume","Indirizzo della Sede di: Segretariato Regionale del Ministero della cultura per l'Emilia-Romagna","Argelato"
"Assisi – Domus c.d. di Properzio","Indirizzo della Sede di: Soprintendenza Archeologia, Belle Arti e Paesaggio dell'Umbria","Assisi"
"GEP 2022","Indirizzo della Sede di: Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Ravenna, Forlì-Cesena e Rimini","Ravenna"
"NOTTE EUROPEA DEI RICERCATORI. Premiazione del concorso letterario “Immaginari e narrazioni del cambiamento climatico” (prima edizione).","Indirizzo della Sede di: Biblioteca Statale di Macerata","Macerata"
"“Cruci-Boncompagni: giochi e indovinelli alla scoperta del Villino Boncompagni Ludovisi”","Indirizzo della Sede di: Museo Boncompagni Ludovisi per le arti decorative, il costume e la moda dei secoli XIX e XX","Roma"
"People of the Adriatic Mobility and Exchange in a Venetian Space (XIV-XVI century)","Indirizzo della Sede di: Biblioteca nazionale Marciana - Sale monumentali","Venezia"
"Landscapes for holidays","Indirizzo della Sede di: Castello di San Terenzo","Lerici"
"Mario Sironi Un racconto dal grande collezionismo italiano","Indirizzo della Sede di: Direzione Regionale Musei Veneto","Abano Terme"
"Storie segrete a Palazzo Grimani_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Museo di Palazzo Grimani","Venezia"
"Dante dì 2022","Indirizzo della Sede di: Biblioteca Nazionale di Napoli - Vittorio Emanuele III","Napoli"
"Dante e gli antichi nel Museo Etrusco di Chiusi: dai social al museo ... passando per il teatro","Indirizzo della Sede di: Museo nazionale etrusco e necropoli di Chiusi","Chiusi"
"No imbrutese su logu: ambiente e paesaggio sono delle future generazioni” Dialoghi di archeologia architettura arte paesaggio","Indirizzo della Sede di: Basilica di San Saturnino","Cagliari"
"Dantedì 2022 “Inferno: il Cammino in Musica","Indirizzo della Sede di: Direzione Regionale Musei Lazio","Marino"
"Dantedì “L’ombra di Enea nel viaggio di Dante”","Indirizzo della Sede di: Direzione Regionale Musei Lazio","Pomezia"
"Le figure di Dante","Indirizzo della Sede di: Direzione regionale Musei Lombardia","Milano"
"Letture dantesche nelle sale del Museo del Sannio caudino","Indirizzo della Sede di: Museo archeologico nazionale del Sannio Caudino","Montesarchio"
"Letture piccine picciò","Indirizzo della Sede di: Museo archeologico nazionale della Valle del Sarno","Sarno"
"L’arte della Corea_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Museo delle Civiltà","Roma"
"Il MArTA al Mysterium Festival","Indirizzo della Sede di: Museo archeologico nazionale di Taranto - MArTA","Taranto"
"Dantedì al MArTA : “A Cummedie de Dande”","Indirizzo della Sede di: Museo archeologico nazionale di Taranto - MArTA","Taranto"
"LE FOSSE ARDEATINE: LA LUCE DELLA MEMORIA DAL BUIO DELLE CAVE","Indirizzo della Sede di: Museo nazionale etrusco di Villa Giulia","Roma"
"La magia del metallo: spille e accessori. Laboratorio didattico","Indirizzo della Sede di: Museo nazionale etrusco di Villa Giulia","Roma"
"RIGENER_ARTE","Indirizzo della Sede di: Museo nazionale etrusco di Villa Giulia","Roma"
"La ""Commedia"" tra fonti figurative e tradizione manoscritta","Indirizzo della Sede di: Archivio di Stato di Modena","Modena"
"Il Mappamondo a forma di cuore di Hajji Ahmed e il Mappamondo in cinese di Ferdinand Verbiest","Indirizzo della Sede di: Biblioteca nazionale Marciana - Sale monumentali","Venezia"
"L'Opera mondo di Giuseppe Bonaviri. Anno bonaviriano 2022-2023 verso il centenario della nascita.","Indirizzo della Sede di: Biblioteca nazionale centrale di Roma","Roma"
"“PERCORSI FEMMINILI a Napoli” Presentazione del volume","Indirizzo della Sede di: Certosa e Museo di San Martino","Napoli"
"8 marzo al museo di Eboli","Indirizzo della Sede di: Museo archeologico di Eboli e della Media Valle del Sele e Aree archeologiche delle fornaci SS. Cosma e Damiano e della Villa Romana di Paterno","Eboli"
"Il Museo di Vibo celebra la Giornata internazionale della donna","Indirizzo della Sede di: Museo archeologico nazionale ""Vito Capialbi""","Vibo Valentia"
"8 marzo al Museo archeologico della Valle del Sarno","Indirizzo della Sede di: Museo archeologico nazionale della Valle del Sarno","Sarno"
"#8marzo 𝙎𝙜𝙪𝙖𝙧𝙙𝙞 𝙖𝙡 𝙛𝙚𝙢𝙢𝙞𝙣𝙞𝙡𝙚","Indirizzo della Sede di: Museo archeologico nazionale delle Marche","Ancona"
"Nel luogo della memoria. Per tutte le donne vittime di violenza","Indirizzo della Sede di: Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"Visita guidata gratuita alla Villa dei Quintili","Indirizzo della Sede di: Parco archeologico dell'Appia antica - Villa dei Quintili e Santa Maria Nova","Roma"
"Giornata Nazionale del Paesaggio 2022","Indirizzo della Sede di: Soprintendenza Archeologia, Belle Arti e Paesaggio per la città metropolitana di Reggio Calabria e la provincia di Vibo Valentia","Reggio di Calabria"
"Le donne della Società generale di mutuo soccorso fra gli artisti e gli operai di Perugia","Indirizzo della Sede di: Soprintendenza Archivistica e Bibliografica dell'Umbria","Perugia"
"“inCanti danteschi. In viaggio con Dante e le creature del mito antico” 25 marzo 2022","Indirizzo della Sede di: Museo archeologico nazionale delle Marche","Ancona"
"Presentazione del volume Bacalà. Una Storia Veneziana dal 1431-1433 e la Metamorfosi Sublime: il Bacalà Mantecato di Anna Alberati","Indirizzo della Sede di: Biblioteca nazionale Marciana - Sale monumentali","Venezia"
"Presentazione del volume I sette talismani dell’Impero di Mimo Gabriele","Indirizzo della Sede di: Biblioteca nazionale Marciana - Sale monumentali","Venezia"
"Disegniamo e giochiamo con Dante","Indirizzo della Sede di: Direzione Regionale Musei Marche","Morro d'Alba"
"Disegniamo e giochiamo con Dante_Copia","Indirizzo della Sede di: Direzione Regionale Musei Marche","Morro d'Alba"
"Disegniamo e giochiamo con Dante_Copia_Copia","Indirizzo della Sede di: Direzione Regionale Musei Marche","Morro d'Alba"
"Disegniamo e giochiamo con Dante_Copia_Copia_Copia","Indirizzo della Sede di: Direzione Regionale Musei Marche","Morro d'Alba"
"Allegorie e similitudini animali nell’inferno dantesco: mostra virtuale","Indirizzo della Sede di: Biblioteca Statale di Macerata","Macerata"
"‘UNA FAMIGLIA SVEDESE NEI SALOTTI ROMANI’","Indirizzo della Sede di: Museo Boncompagni Ludovisi per le arti decorative, il costume e la moda dei secoli XIX e XX","Roma"
"Parco Archeologico dell'Appia Antica. Incontri di Archeologia al Parco delle Tombe di Via Latina. Cartagine oltre il mito. Prima e dopo il 146 a.C._Copia","Indirizzo della Sede di: Parco archeologico dell'Appia antica - Parco delle Tombe della via Latina e Basilica di Santo Stefano","Roma"
"Riapertura regolare e aperture straordinarie pomeridiane al Cenacolo di Sant'Apollonia di Firenze._Copia_Copia_Copia_Copia","Indirizzo della Sede di: Cenacolo di Sant'Apollonia","Firenze"
"Museo di San Marco a Firenze. Apertura straordinaria dal 21 agosto fino al 30 ottobre tutti i venerdì del Chiostro di San Domenico._Copia","Indirizzo della Sede di: Museo di San Marco","Firenze"
"Apertura straordinaria del Museo archeologico e antiquarium ""Archeoderi""","Indirizzo della Sede di: Museo archeologico e antiquarium ""Archeoderi""","Bova Marina"
"Apertura straordinaria del Museo e Parco archeologico nazionale di Scolacium","Indirizzo della Sede di: Museo e Parco archeologico nazionale di Scolacium","Borgia"
"Apertura straordinaria dell'Abbazia Greca di San Nilo e del Museo dell'Abbazia","Indirizzo della Sede di: Abbazia Greca di San Nilo","Grottaferrata"
"Apertura straordinaria dell'Abbazia Greca di San Nilo","Indirizzo della Sede di: Abbazia Greca di San Nilo","Grottaferrata"
"Apertura straordinaria dell'Abbazia e Museo di Montecassino","Indirizzo della Sede di: Abbazia di Montecassino","Cassino"
"Apertura straordinaria alla Villa Romana del Varignano","Indirizzo della Sede di: Area archeologica di Nervia","Ventimiglia"
"CONFERENZA: LA SITUAZIONE DELLE DONNE IN IRAN","Indirizzo della Sede di: Biblioteca Universitaria di Sassari","Sassari"
"Apertura straordinaria della Cappella dell’Annunziata","Indirizzo della Sede di: Cappella dell'Annunziata","Cori"
"Apertura straordinaria della Cappella dell'Annunziata","Indirizzo della Sede di: Cappella dell'Annunziata","Cori"
"Visite guidate al Museo nazionale Concordiese e all'Area Archeologica di Concordia Sagittaria | Domenica 4 ottobre_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Concordia Sagittaria, area archeologica sotto la Cattedrale","Concordia Sagittaria"
"Visite guidate al Museo nazionale Concordiese e all'Area Archeologica di Concordia Sagittaria | Domenica 4 ottobre_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Concordia Sagittaria, area archeologica sotto la Cattedrale","Concordia Sagittaria"
"Visite guidate al Museo nazionale Concordiese e all'Area Archeologica di Concordia Sagittaria | Domenica 4 ottobre_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Concordia Sagittaria, area archeologica sotto la Cattedrale","Concordia Sagittaria"
"Apertura della Galleria nazionale di Cosenza","Indirizzo della Sede di: Galleria nazionale di Cosenza","Cosenza"
"Lunedì 26 gennaio 2022: Apertura straordinaria del Giardino di Boboli","Indirizzo della Sede di: Gallerie degli Uffizi - Giardino di Boboli","Firenze"
"Apertura straordinaria del Giardino di Boboli lunedì 2 gennaio 2023","Indirizzo della Sede di: Gallerie degli Uffizi - Giardino di Boboli","Firenze"
"Apertura Straordinaria degli Uffizi lunedì 26 dicembre","Indirizzo della Sede di: Gallerie degli Uffizi – Gli Uffizi","Firenze"
"Apertura straordinaria degli Uffizi lunedì 2 gennaio 2023","Indirizzo della Sede di: Gallerie degli Uffizi – Gli Uffizi","Firenze"
"Apertura straordinaria a Palazzo Reale di Genova - 26 dicembre 2022","Indirizzo della Sede di: Museo Palazzo Reale di Genova","Genova"
"Apertura straordinaria a Palazzo Reale di Genova - 26 dicembre 2022_Copia","Indirizzo della Sede di: Museo Palazzo Reale di Genova","Genova"
"Apertura del Museo archeologico di Métauros","Indirizzo della Sede di: Museo archeologico di Metauros","Gioia Tauro"
"Chanukkà. La Festa ebraica della Luce ad Archeoderi","Indirizzo della Sede di: Museo archeologico e antiquarium ""Archeoderi""","Bova Marina"
"Visite guidate al Museo nazionale Concordiese e all'Area Archeologica di Concordia Sagittaria | Domenica 4 ottobre_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Museo archeologico nazionale Concordiese di Portogruaro","Portogruaro"
"Visite guidate al Museo nazionale Concordiese e all'Area Archeologica di Concordia Sagittaria | Domenica 4 ottobre_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Museo archeologico nazionale Concordiese di Portogruaro","Portogruaro"
"Visite guidate al Museo nazionale Concordiese e all'Area Archeologica di Concordia Sagittaria | Domenica 4 ottobre_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Museo archeologico nazionale Concordiese di Portogruaro","Portogruaro"
"Visite guidate al Museo nazionale Concordiese e all'Area Archeologica di Concordia Sagittaria | Domenica 4 ottobre_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Museo archeologico nazionale Concordiese di Portogruaro","Portogruaro"
"Apertura straordinaria Museo archeologico nazionale d'Abruzzo Villa Frigerj di Chieti_Copia","Indirizzo della Sede di: Museo archeologico nazionale La Civitella di Chieti e Monumenti e Aree archeologiche dell'antica Teate","Chieti"
"Apertura straordinaria Museo archeologico nazionale d'Abruzzo Villa Frigerj_Copia","Indirizzo della Sede di: Museo archeologico nazionale La Civitella di Chieti e Monumenti e Aree archeologiche dell'antica Teate","Chieti"
"Dies Natalis. Riflessioni sulle origini del Natale","Indirizzo della Sede di: Museo archeologico nazionale ""Vito Capialbi""","Vibo Valentia"
"Apertura straordinaria Museo archeologico nazionale d'Abruzzo Villa Frigerj di Chieti","Indirizzo della Sede di: Museo archeologico nazionale d'Abruzzo - Villa Frigerj","Chieti"
"Apertura straordinaria Museo archeologico nazionale d'Abruzzo Villa Frigerj","Indirizzo della Sede di: Museo archeologico nazionale d'Abruzzo - Villa Frigerj","Chieti"
"Villa Adriana:  riaprono Piccole Terme e Hospitalia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Museo archeologico nazionale di Adria","Adria"
"Villa Adriana:  riaprono Piccole Terme e Hospitalia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Museo archeologico nazionale di Adria","Adria"
"Apertura straordinaria del Museo archeologico nazionale di Aquileia","Indirizzo della Sede di: Museo archeologico nazionale di Aquileia","Aquileia"
"#DOMENICALMUSEO - Apertura straordinaria del MAN di Aquileia","Indirizzo della Sede di: Museo archeologico nazionale di Aquileia","Aquileia"
"Apertura straordinaria del Museo Archeologico Nazionale di Aquileia","Indirizzo della Sede di: Museo archeologico nazionale di Aquileia","Aquileia"
"Apertura straordinaria del Museo archeologico nazionale di Campli","Indirizzo della Sede di: Museo archeologico nazionale di Campli e Area archeologica di Campovalano","Campli"
"Apertura Straordinaria al Museo Archeologico Nazionale di Chiavari","Indirizzo della Sede di: Museo archeologico nazionale di Chiavari","Chiavari"
"Apertura straordinaria 2 gennaio 2023 a Chiavari","Indirizzo della Sede di: Museo archeologico nazionale di Chiavari","Chiavari"
"Apertura straordinaria del Museo Archeologico Nazionale di Cividale del Friuli (Ud)","Indirizzo della Sede di: Museo archeologico nazionale di Cividale del Friuli","Cividale del Friuli"
"Apertura del Museo archeologico nazionale di Crotone","Indirizzo della Sede di: Museo archeologico nazionale di Crotone","Crotone"
