,topic,lat,long
81,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/153409,41.86956,12.568359
82,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104454,45.07058,11.78956
83,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102539,44.610634,7.944108
84,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131026,41.89873,12.486775
85,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/137523,40.821125,14.120099
86,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/139454,39.29225,16.257238
87,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/147692,41.86956,12.568359
88,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/147723,41.86956,12.568359
89,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/150124,40.640175,17.945017
90,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/150109,40.33219,18.146238
91,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/150879,41.86956,12.568359
92,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/150870,41.86956,12.568359
93,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131147,45.65979,13.803186
94,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131148,45.597904,13.767122
95,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131149,45.65321,13.769912
96,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/132841,46.093594,13.431767
97,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/132851,43.524414,13.24522
98,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/136847,44.84233,11.621204
99,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/143832,44.42035,12.19539
100,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/143840,45.43079,12.33519
101,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/145140,41.102436,14.322286
102,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/145138,41.86956,12.568359
103,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/145342,41.86956,12.568359
104,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/145190,38.236286,16.266487
105,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/150069,40.726524,8.526445
106,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/150653,41.86956,12.568359
107,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/150992,41.86956,12.568359
108,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/154378,41.897022,12.492689
109,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/157959,41.86956,12.568359
110,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/158251,41.86956,12.568359
111,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/159049,41.86956,12.568359
112,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131573,41.086365,16.782442
113,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133355,45.406193,12.35949
114,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/144996,41.86956,12.568359
115,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/147203,41.86956,12.568359
116,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/147202,41.86956,12.568359
117,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/149096,41.86956,12.568359
