"p","predicate"
"https://w3id.org/arco/ontology/core/hasClassificationInTime",82268
"https://w3id.org/arco/ontology/context-description/hasEdition",81893
"https://w3id.org/italia/onto/SM/hasOnlineContactPoint",80015
"https://w3id.org/arco/ontology/context-description/hasAgentWithResponsibility",79370
"https://w3id.org/arco/ontology/context-description/hasResponsibility",79370
"https://w3id.org/italia/onto/CPV/familyName",78884
"http://dati.beniculturali.it/cis/involvesCulturalEntity",78755
"https://w3id.org/arco/ontology/context-description/hasCircumstance",77841
"https://w3id.org/italia/onto/CPV/givenName",76752
"https://w3id.org/italia/onto/TI/hasDayOfWeek",72786
"https://w3id.org/italia/onto/AccessCondition/hasAdmissionType",72786
"https://w3id.org/italia/onto/AccessCondition/closes",72786
"https://w3id.org/italia/onto/AccessCondition/opens",72786
"https://w3id.org/arco/ontology/denotative-description/hasCulturalPropertyDefinition",72103
"https://w3id.org/arco/ontology/context-description/issueDate",69729
"https://w3id.org/arco/ontology/location/hasCadastralCity",67810
"http://www.w3.org/2004/02/skos/core#prefLabel",66710
"https://w3id.org/arco/ontology/catalogue/deletedICCDIdentifier",66356
"https://w3id.org/arco/ontology/context-description/hasBibliographyType",65057
"http://lod.xdams.org/reload/oad/extentAndMedium",64365
"https://w3id.org/italia/onto/SM/hasTelephone",64142
"https://w3id.org/italia/onto/CPV/sexID",62452
"https://w3id.org/italia/onto/CPV/hasSex",62429
"https://w3id.org/arco/ontology/context-description/hasCommission",62257
"https://w3id.org/arco/ontology/context-description/hasCommittent",60372
"https://w3id.org/arco/ontology/immovable-property/hasCovering",58985
"https://w3id.org/arco/ontology/construction-description/hasCovering",58985
"https://w3id.org/arco/ontology/natural-specimen-description/hasTaxon",57989
"http://dati.beniculturali.it/cis/hasSite",57808
"https://w3id.org/italia/onto/CLV/hasAddressArea",57021
"https://w3id.org/arco/ontology/context-description/digitalFileName",57007
"https://w3id.org/arco/ontology/denotative-description/hasIconographicOrDecorativeApparatus",56644
"https://w3id.org/arco/ontology/context-description/hasActivitySponsor",56304
"https://w3id.org/arco/ontology/core/isIdentifiedBy",56263
"https://w3id.org/arco/ontology/context-description/editionLocation",55776
"https://w3id.org/arco/ontology/core/isClassifiedBy",55332
"https://w3id.org/arco/ontology/context-description/hasAuthorityFileCataloguingAgency",53451
"https://w3id.org/arco/ontology/core/hasAutoreOpera",53360
"https://w3id.org/arco/ontology/location/hasSiteType",53102
"https://w3id.org/arco/ontology/denotative-description/hasIconographicOrDecorativeApparatusType",51863
"https://w3id.org/italia/onto/SM/hasEmail",50489
"https://w3id.org/arco/ontology/catalogue/hasUpdateResponsibleAgent",50429
"http://www.w3.org/2004/02/skos/core#inScheme",47551
"https://w3id.org/arco/ontology/context-description/hasCulturalPropertyStage",46910
"https://w3id.org/arco/ontology/natural-specimen-description/hasSpecimenHarvesting",46352
"https://w3id.org/arco/ontology/movable-property/hasSpecimenHarvesting",46346
"https://w3id.org/arco/ontology/context-description/attributedTitle",46175
"https://w3id.org/arco/ontology/context-description/isSpecimenMemberOf",45724
"http://dati.beniculturali.it/cis/isSubjectOf",45693
"https://w3id.org/arco/ontology/context-description/isMemberOfSpecimenCollectionOf",45420
"https://w3id.org/arco/ontology/context-description/hasUrbanPlanningInstrument",45218
"http://www.w3.org/2004/02/skos/core#broader",45105
"http://www.w3.org/2004/02/skos/core#narrower",45101
"https://w3id.org/italia/onto/CLV/postCode",44915
"https://w3id.org/arco/ontology/context-description/insertionDate",44250
"http://www.w3.org/2004/02/skos/core#closeMatch",43715
"https://w3id.org/arco/ontology/movable-property/isClassifiedByCurrentTaxon",42547
"https://w3id.org/arco/ontology/natural-specimen-description/isIdentifiedByCurrentTaxon",42547
"https://w3id.org/arco/ontology/construction-description/hasLayout",41683
"https://w3id.org/arco/ontology/immovable-property/hasLayout",41536
"https://w3id.org/arco/ontology/context-description/abbreviation",40792
"https://w3id.org/arco/ontology/context-description/isMemberOfCollectionOf",40485
"https://w3id.org/arco/ontology/context-description/hasMemberOfCollection",40383
"https://w3id.org/italia/onto/POT/hasTicket",40241
"http://dati.beniculturali.it/cis/institutionalCISName",39382
"https://w3id.org/arco/ontology/core/hasIdentificationInTime",38846
"https://w3id.org/arco/ontology/natural-specimen-description/isClassifiedByCurrentTaxon",38843
"https://w3id.org/italia/onto/SM/hasTelephoneType",38529
"https://w3id.org/arco/ontology/context-description/hasEligibleIntervention",38124
"https://w3id.org/arco/ontology/context-description/hasScale",38089
"https://w3id.org/arco/ontology/catalogue/recoveredData",37964
"https://w3id.org/arco/ontology/context-description/relatedWorkNote",37710
"https://w3id.org/arco/ontology/movable-property/hasChemicalFormula",36560
"https://w3id.org/arco/ontology/natural-specimen-description/hasChemicalFormula",36560
"https://w3id.org/italia/onto/POT/includes",35370
"https://w3id.org/italia/onto/POT/hasPriceSpecification",35370
