"s","label"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","ITALIA, Lazio, RM, Roma, Agro Romano"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","ITALIA, Lazio, RM, Roma, Castel Malnome"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","ITALIA, Lazio, RM, Roma, Prati Fiscali"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","Italia, Lombardia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","ITALIA, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","ITALIA, Lazio, RM, Roma, ante 1873"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","Italia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","Rm, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","Italia, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","Italia, Lazio, RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","Italia, Roma, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","ITALIA, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","ITALIA, Lazio, RM, Roma, Ghetto"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","ITALIA, Lazio, RM, Roma, Circo Massimo (lato breve curvo)"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","Europa, ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","Europa - Italia - Lazio - Rm - Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","Italia, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","ITALIA, Lazio, RM, Roma, Agro Romano"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","ITALIA, Lazio, RM, Roma, Castel Malnome"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","ITALIA, Lazio, RM, Roma, Prati Fiscali"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","Italia, Lombardia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","ITALIA, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","ITALIA, Lazio, RM, Roma, ante 1873"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","Italia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","Rm, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","Italia, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","Italia, Lazio, RM, ROMA"
