,concept
176,https://w3id.org/arco/ontology/catalogue/CatalogueRecordBNB
177,https://w3id.org/arco/ontology/context-description/ChangeOfAvailabilityType
178,http://dati.beniculturali.it/cis/ClericalAdministrativeArea
179,https://w3id.org/arco/ontology/context-description/FindingContextType
180,https://w3id.org/arco/ontology/context-description/Format
181,https://w3id.org/arco/ontology/context-description/Inspection
182,https://w3id.org/arco/ontology/arco/BotanicalHeritage
183,https://w3id.org/arco/ontology/context-description/ObservationSurvey
184,https://w3id.org/arco/ontology/context-description/Research
185,https://w3id.org/arco/ontology/context-description/SexInterpretation
186,https://w3id.org/arco/ontology/catalogue/CulturalPropertyRecord
187,http://dati.beniculturali.it/cis/GovernamentalAdministrativeArea
188,https://w3id.org/arco/ontology/catalogue/ComplexCPCatalogueRecord
189,http://dati.beniculturali.it/cis/SubjectDiscipline
190,https://w3id.org/arco/ontology/denotative-description/FunctionalPurpose
191,https://w3id.org/arco/ontology/denotative-description/IconographicOrDecorativeApparatus
192,https://w3id.org/arco/ontology/catalogue/CatalogueRecordSI
193,https://w3id.org/arco/ontology/context-description/Scale
194,https://w3id.org/arco/ontology/context-description/Tomb
195,https://w3id.org/arco/ontology/catalogue/CatalogueRecordE
196,https://w3id.org/arco/ontology/arco/CulturalProperty
197,https://w3id.org/italia/onto/CLV/Region
198,https://w3id.org/arco/ontology/location/Altitude
199,https://w3id.org/arco/ontology/location/Coordinates
200,https://w3id.org/arco/ontology/immovable-property/Floor
201,https://w3id.org/arco/ontology/construction-description/Floor
202,https://w3id.org/arco/ontology/denotative-description/HistoricalPlaque
203,https://w3id.org/arco/ontology/context-description/ExpiredCopyright
204,https://w3id.org/arco/ontology/arco/PhotographicHeritageClassification
205,https://w3id.org/arco/ontology/arco/PhotographicHeritageClassificationType
206,https://w3id.org/arco/ontology/denotative-description/ConservationStatusType
207,https://w3id.org/arco/ontology/catalogue/CatalogueRecordBNM
208,https://w3id.org/arco/ontology/arco/MineralHeritage
209,https://w3id.org/arco/ontology/movable-property/Specimen
210,https://w3id.org/arco/ontology/natural-specimen-description/Specimen
211,https://w3id.org/arco/ontology/context-description/PhotographicSeriesMembership
212,https://w3id.org/arco/ontology/context-description/PreparatoryOrFinalWork
213,https://w3id.org/arco/ontology/catalogue/AlternativeIdentifier
214,https://w3id.org/arco/ontology/catalogue/CatalogueRecordOAC
215,https://w3id.org/arco/ontology/context-description/DetectionMethod
216,https://w3id.org/arco/ontology/catalogue/CatalogueRecordVeAC
217,https://w3id.org/italia/onto/CLV/Country
218,https://w3id.org/arco/ontology/clothing-description/Clothing
219,https://w3id.org/arco/ontology/context-description/AudioDocumentation
220,https://w3id.org/arco/ontology/catalogue/CatalogueRecordBDI
221,https://w3id.org/arco/ontology/arco/IntangibleCulturalProperty
222,https://w3id.org/arco/ontology/context-description/Fruition
223,https://w3id.org/arco/ontology/arco/CulturalPropertyCataloguingCategory
224,http://www.w3.org/2002/07/owl#TransitiveProperty
225,http://www.w3.org/2002/07/owl#ObjectProperty
226,http://dati.beniculturali.it/cis/CISType
227,http://www.w3.org/2002/07/owl#FunctionalProperty
228,http://www.w3.org/2002/07/owl#DatatypeProperty
229,https://w3id.org/italia/onto/AccessCondition/Booking
230,http://www.w3.org/ns/dcat#Distribution
231,http://dati.gov.it/onto/dcatapit#Distribution
232,http://dati.beniculturali.it/cis/CreativeWork
233,http://archivi.ibc.regione.emilia-romagna.it/ontology/eac-cpf/entity
234,http://lod.xdams.org/reload/oad/production
235,http://dati.beniculturali.it/cis/CulturalHeritageObject
236,http://lod.xdams.org/reload/oad/uod
237,https://w3id.org/italia/onto/CLV/Province
238,https://w3id.org/italia/onto/CLV/CivicNumbering
239,https://w3id.org/arco/ontology/arco/ReferenceCoinLegend
240,https://w3id.org/arco/ontology/context-description/ArchaeologicalFieldSurvey
241,https://w3id.org/arco/ontology/arco/ArchaeologicalMaterialCategory
242,https://w3id.org/arco/ontology/context-description/BibliographyCategory
243,https://w3id.org/arco/ontology/catalogue/CatalogueRecordTMA
244,http://dati.beniculturali.it/cis/CollectionCulEnt
245,https://w3id.org/arco/ontology/context-description/FilmDocumentation
246,http://dati.beniculturali.it/cis/Library
247,http://www.w3.org/2002/07/owl#InverseFunctionalProperty
248,http://purl.org/goodrelations/v1#BusinessEntity
249,http://purl.org/goodrelations/v1#Offering
250,http://purl.org/goodrelations/v1#LocationOfSalesOrServiceProvisioning
251,http://purl.org/goodrelations/v1#ActualProductOrServicesInstance
252,http://purl.org/goodrelations/v1#ProductOrServiceSomeInstancePlaceholder
253,http://purl.org/goodrelations/v1#PriceSpecification
254,http://purl.org/goodrelations/v1#TypeAndQuantityNode
255,http://purl.org/goodrelations/v1#ProductOrServicesSomeInstancesPlaceholder
256,http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#C_AKJ315005-tax
257,http://purl.org/goodrelations/v1#Manufacturer
258,http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#C_AAB316003-tax
259,http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#C_AKE112003-tax
260,http://www.w3.org/2002/07/owl#inverseFunctionalProperty
261,https://w3id.org/arco/ontology/context-description/CulturalPropertyStage
262,https://w3id.org/arco/ontology/immovable-property/HorizontalElementType
263,https://w3id.org/arco/ontology/arco/NumismaticPropertyTypologicalCategory
264,https://w3id.org/arco/ontology/construction-description/HorizontalElementType
265,https://w3id.org/arco/ontology/immovable-property/RoofingType
266,https://w3id.org/arco/ontology/construction-description/RoofingType
267,https://w3id.org/arco/ontology/context-description/SurveyMotivation
268,https://w3id.org/arco/ontology/immovable-property/FlooringType
269,https://w3id.org/arco/ontology/construction-description/FlooringType
270,https://w3id.org/arco/ontology/immovable-property/VerticalElementType
271,https://w3id.org/arco/ontology/construction-description/VerticalElementType
272,https://w3id.org/arco/ontology/catalogue/CatalogueRecordMA
273,https://w3id.org/italia/onto/CLV/AdministrativeUnitComponent
274,https://w3id.org/arco/ontology/context-description/BibliographyType
275,https://w3id.org/arco/ontology/context-description/Intervention
276,https://w3id.org/arco/ontology/immovable-property/RoofType
277,https://w3id.org/arco/ontology/construction-description/RoofType
278,https://w3id.org/arco/ontology/movable-property/Genus
279,https://w3id.org/arco/ontology/natural-specimen-description/Genus
280,https://w3id.org/arco/ontology/movable-property/Family
281,https://w3id.org/arco/ontology/natural-specimen-description/Family
282,https://w3id.org/arco/ontology/movable-property/BiologicalTaxon
283,https://w3id.org/arco/ontology/natural-specimen-description/BiologicalTaxon
284,https://w3id.org/arco/ontology/movable-property/Species
285,https://w3id.org/arco/ontology/natural-specimen-description/Species
286,https://w3id.org/arco/ontology/natural-specimen-description/Genus
287,https://w3id.org/arco/ontology/core/ClassificationInTime
288,https://w3id.org/arco/ontology/movable-property/Label
289,https://w3id.org/arco/ontology/natural-specimen-description/Label
290,https://w3id.org/arco/ontology/movable-property/SpecimenHarvesting
291,https://w3id.org/arco/ontology/natural-specimen-description/SpecimenHarvesting
292,https://w3id.org/arco/ontology/immovable-property/ConstructionDesign
293,https://w3id.org/arco/ontology/construction-description/ConstructionDesign
294,https://w3id.org/arco/ontology/immovable-property/Flooring
295,https://w3id.org/arco/ontology/construction-description/Flooring
296,https://w3id.org/arco/ontology/immovable-property/HorizontalSubdivision
297,https://w3id.org/arco/ontology/construction-description/HorizontalSubdivision
298,https://w3id.org/arco/ontology/immovable-property/Roof
299,https://w3id.org/arco/ontology/construction-description/Roof
300,https://w3id.org/arco/ontology/immovable-property/Roofing
301,https://w3id.org/arco/ontology/construction-description/Roofing
302,https://w3id.org/arco/ontology/immovable-property/HorizontalElement
303,https://w3id.org/arco/ontology/construction-description/HorizontalElement
304,https://w3id.org/arco/ontology/immovable-property/Layout
305,https://w3id.org/arco/ontology/immovable-property/VerticalElement
306,https://w3id.org/arco/ontology/construction-description/VerticalElement
307,https://w3id.org/arco/ontology/immovable-property/VerticalSubdivision
308,https://w3id.org/arco/ontology/construction-description/VerticalSubdivision
309,https://w3id.org/arco/ontology/immovable-property/FlooringLayout
310,https://w3id.org/arco/ontology/construction-description/FlooringLayout
311,https://w3id.org/arco/ontology/immovable-property/RoofStructure
312,https://w3id.org/arco/ontology/construction-description/RoofStructure
313,https://w3id.org/arco/ontology/context-description/UseFunction
314,https://w3id.org/arco/ontology/immovable-property/Foundation
315,https://w3id.org/arco/ontology/construction-description/Foundation
316,https://w3id.org/arco/ontology/immovable-property/FoundationType
317,https://w3id.org/arco/ontology/construction-description/FoundationType
318,https://w3id.org/arco/ontology/context-description/DocumentationCategory
319,https://w3id.org/arco/ontology/context-description/SurveyMethod
320,https://w3id.org/arco/ontology/context-description/PrintingPlatesSeries
321,https://w3id.org/arco/ontology/movable-property/SemplifiedChemicalFormula
322,https://w3id.org/arco/ontology/natural-specimen-description/SemplifiedChemicalFormula
323,https://w3id.org/arco/ontology/movable-property/EmpiricalChemicalFormula
324,https://w3id.org/arco/ontology/natural-specimen-description/EmpiricalChemicalFormula
325,https://w3id.org/arco/ontology/movable-property/CrystalMorphology
326,https://w3id.org/arco/ontology/natural-specimen-description/CrystalMorphology
327,https://w3id.org/arco/ontology/movable-property/CrystalTwinning
328,https://w3id.org/arco/ontology/natural-specimen-description/CrystalTwinning
329,https://w3id.org/arco/ontology/movable-property/CrystallographicCharacteristic
330,https://w3id.org/arco/ontology/natural-specimen-description/CrystallographicCharacteristic
331,https://w3id.org/arco/ontology/denotative-description/PhysicalCharacteristic
332,https://w3id.org/arco/ontology/natural-specimen-description/PhysicalCharacteristic
333,https://w3id.org/arco/ontology/movable-property/Pseudomorhosis
334,https://w3id.org/arco/ontology/natural-specimen-description/Pseudomorhosis
335,https://w3id.org/arco/ontology/movable-property/UnitCell
336,https://w3id.org/arco/ontology/natural-specimen-description/UnitCell
337,https://w3id.org/arco/ontology/denotative-description/DecorativeApparatusType
338,https://w3id.org/arco/ontology/movable-property/HarvestingMethod
339,https://w3id.org/arco/ontology/natural-specimen-description/HarvestingMethod
340,https://w3id.org/arco/ontology/movable-property/HarvestingMotivation
341,https://w3id.org/arco/ontology/natural-specimen-description/HarvestingMotivation
342,https://w3id.org/arco/ontology/denotative-description/DesignationType
343,https://w3id.org/arco/ontology/location/GeometryTechnique
344,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement
345,http://www.openlinksw.com/schemas/VSPX#
346,http://www.w3.org/ns/dcat#Catalog
347,http://dati.gov.it/onto/dcatapit#Catalog
348,http://www.w3.org/2004/02/skos/core#Concept
349,https://w3id.org/italia/onto/ADMS/SemanticAsset
350,https://w3id.org/arco/ontology/catalogue/CatalogueRecordBNZ
351,https://w3id.org/arco/ontology/context-description/ArchivalFonds
352,https://w3id.org/arco/ontology/denotative-description/WritingSystem
353,https://w3id.org/arco/ontology/location/GeometryMethod
354,https://w3id.org/arco/ontology/location/LocationType
355,https://w3id.org/arco/ontology/immovable-property/OpenSpace
356,https://w3id.org/arco/ontology/construction-description/OpenSpace
357,https://w3id.org/arco/ontology/catalogue/CatalogueRecordPG
358,https://w3id.org/arco/ontology/catalogue/PrivacyReason
359,https://w3id.org/arco/ontology/catalogue/CataloguingLevel
360,https://w3id.org/arco/ontology/catalogue/CatalogueRecordFF
361,https://w3id.org/arco/ontology/cultural-event/Exhibition
362,https://w3id.org/arco/ontology/context-description/InterventionType
363,https://w3id.org/arco/ontology/location/Continent
364,https://w3id.org/arco/ontology/denotative-description/OrnamentalMotif
365,https://w3id.org/arco/ontology/denotative-description/Support
366,https://w3id.org/arco/ontology/cataloguing-campaign/ApplicationStatus
367,https://w3id.org/arco/ontology/cataloguing-campaign/CampaignType
368,https://w3id.org/arco/ontology/cataloguing-campaign/CampaignStatus
369,https://w3id.org/arco/ontology/cataloguing-campaign/ActivityStatus
370,https://w3id.org/arco/ontology/cataloguing-campaign/OrganizationType
371,https://w3id.org/arco/ontology/arco/ZoologicalHeritage
372,http://rdfs.org/ns/void#Linkset
373,http://www.w3.org/ns/sparql-service-description#NamedGraph
