,s,lat,long
96,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051519,41.072296,14.327013
97,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051522,41.072296,14.327013
98,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051524,41.072296,14.327013
99,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051527,41.072296,14.327013
100,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051532,41.072296,14.327013
101,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051538,41.072296,14.327013
102,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051549,41.072296,14.327013
103,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051563,41.072296,14.327013
104,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051565,41.072296,14.327013
105,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051568,41.072296,14.327013
106,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051575,41.072296,14.327013
107,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051579,41.072296,14.327013
108,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051633,41.072296,14.327013
109,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051661,41.072296,14.327013
110,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051662,41.072296,14.327013
111,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051686,41.072296,14.327013
112,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051746,41.072296,14.327013
113,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051751,41.072296,14.327013
114,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051752,41.072296,14.327013
115,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051759,41.072296,14.327013
116,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051833,41.072296,14.327013
117,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051849,41.072296,14.327013
118,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051854,41.072296,14.327013
119,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051859,41.072296,14.327013
120,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051862,41.072296,14.327013
121,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051876,41.072296,14.327013
122,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051882,41.072296,14.327013
123,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051951,41.072296,14.327013
124,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051953,41.072296,14.327013
125,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051956,41.072296,14.327013
126,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051958,41.072296,14.327013
127,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051962,41.072296,14.327013
128,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051970,41.072296,14.327013
129,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052095,41.072296,14.327013
130,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052103,41.072296,14.327013
131,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052115,41.072296,14.327013
132,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052149,41.072296,14.327013
133,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052176,41.072296,14.327013
134,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052179,41.072296,14.327013
135,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052181,41.072296,14.327013
136,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052187,41.072296,14.327013
137,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052192,41.072296,14.327013
138,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052197,41.072296,14.327013
139,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052209,41.072296,14.327013
140,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052224,41.072296,14.327013
141,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052236,41.072296,14.327013
142,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052238,41.072296,14.327013
143,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052244,41.072296,14.327013
144,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052246,41.072296,14.327013
145,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052253,41.072296,14.327013
146,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052256,41.072296,14.327013
147,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052266,41.072296,14.327013
148,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052269,41.072296,14.327013
149,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068110,41.072296,14.327013
150,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068119,41.072296,14.327013
151,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068123,41.072296,14.327013
152,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068124,41.072296,14.327013
153,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068126,41.072296,14.327013
154,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068129,41.072296,14.327013
155,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068131,41.072296,14.327013
156,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068134,41.072296,14.327013
157,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068138,41.072296,14.327013
158,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068143,41.072296,14.327013
159,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068148,41.072296,14.327013
160,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068153,41.072296,14.327013
161,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068154,41.072296,14.327013
162,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068159,41.072296,14.327013
163,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068168,41.072296,14.327013
164,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068173,41.072296,14.327013
165,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068178,41.072296,14.327013
166,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068186,41.072296,14.327013
167,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068191,41.072296,14.327013
168,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068194,41.072296,14.327013
169,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068199,41.072296,14.327013
170,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068204,41.072296,14.327013
171,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068206,41.072296,14.327013
172,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068210,41.072296,14.327013
173,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068215,41.072296,14.327013
174,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068219,41.072296,14.327013
175,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068223,41.072296,14.327013
176,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068225,41.072296,14.327013
177,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068228,41.072296,14.327013
178,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068233,41.072296,14.327013
179,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068242,41.072296,14.327013
180,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068247,41.072296,14.327013
181,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068252,41.072296,14.327013
182,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068257,41.072296,14.327013
183,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068259,41.072296,14.327013
184,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068262,41.072296,14.327013
185,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068264,41.072296,14.327013
186,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068267,41.072296,14.327013
187,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068272,41.072296,14.327013
188,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068277,41.072296,14.327013
189,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068282,41.072296,14.327013
190,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068287,41.072296,14.327013
191,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068289,41.072296,14.327013
192,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068292,41.072296,14.327013
193,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068294,41.072296,14.327013
194,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068297,41.072296,14.327013
195,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068301,41.072296,14.327013
196,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068303,41.072296,14.327013
197,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068313,41.072296,14.327013
198,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068314,41.072296,14.327013
199,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068317,41.072296,14.327013
200,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068318,41.072296,14.327013
201,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068322,41.072296,14.327013
202,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068324,41.072296,14.327013
203,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068327,41.072296,14.327013
204,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068329,41.072296,14.327013
205,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068332,41.072296,14.327013
206,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068333,41.072296,14.327013
207,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068334,41.072296,14.327013
208,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068335,41.072296,14.327013
209,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068337,41.072296,14.327013
210,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068341,41.072296,14.327013
211,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068388,41.072296,14.327013
212,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068412,41.072296,14.327013
213,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068418,41.072296,14.327013
214,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068421,41.072296,14.327013
215,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068426,41.072296,14.327013
216,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068430,41.072296,14.327013
217,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068432,41.072296,14.327013
