,c
204,https://w3id.org/arco/ontology/construction-description/OpenSpace
205,https://w3id.org/arco/ontology/construction-description/OpeningSystem
206,https://w3id.org/arco/ontology/construction-description/PlanLayout
207,https://w3id.org/arco/ontology/construction-description/Railing
208,https://w3id.org/arco/ontology/construction-description/Ramp
209,https://w3id.org/arco/ontology/construction-description/Roof
210,https://w3id.org/arco/ontology/construction-description/RoofStructure
211,https://w3id.org/arco/ontology/construction-description/RoofType
212,https://w3id.org/arco/ontology/construction-description/Roofing
213,https://w3id.org/arco/ontology/construction-description/RoofingType
214,https://w3id.org/arco/ontology/construction-description/Room
215,https://w3id.org/arco/ontology/construction-description/ShadingDevice
216,https://w3id.org/arco/ontology/construction-description/Stair
217,https://w3id.org/arco/ontology/construction-description/Stairs
218,https://w3id.org/arco/ontology/construction-description/StructuralElement
219,https://w3id.org/arco/ontology/construction-description/TechnicalSystem
220,https://w3id.org/arco/ontology/construction-description/TransportElement
221,https://w3id.org/arco/ontology/construction-description/VerticalConnection
222,https://w3id.org/arco/ontology/construction-description/VerticalConnectionType
223,https://w3id.org/arco/ontology/construction-description/VerticalElement
224,https://w3id.org/arco/ontology/construction-description/VerticalElementType
225,https://w3id.org/arco/ontology/construction-description/VerticalSubdivision
226,https://w3id.org/arco/ontology/construction-description/WaterAvailability
227,https://w3id.org/arco/ontology/construction-description/WaterDistributionType
228,https://w3id.org/arco/ontology/construction-description/WaterElement
229,https://w3id.org/arco/ontology/construction-description/WaterSystem
230,https://w3id.org/arco/ontology/construction-description/WaterSystemType
231,https://w3id.org/arco/ontology/construction-description/Window
232,https://w3id.org/arco/ontology/construction-description/WindowType
233,https://w3id.org/arco/ontology/context-description/Acquisition
234,https://w3id.org/arco/ontology/context-description/AcquisitionType
235,https://w3id.org/arco/ontology/context-description/AgeInterpretation
236,https://w3id.org/arco/ontology/context-description/AgeOfDeathInterpretation
237,https://w3id.org/arco/ontology/context-description/AgeType
238,https://w3id.org/arco/ontology/context-description/AlternativeAuthorshipAttribution
239,https://w3id.org/arco/ontology/context-description/AlternativeDating
240,https://w3id.org/arco/ontology/context-description/AlternativeDatingType
241,https://w3id.org/arco/ontology/context-description/Anomaly
242,https://w3id.org/arco/ontology/context-description/AnomalyOrigin
243,https://w3id.org/arco/ontology/context-description/AnomalyType
244,https://w3id.org/arco/ontology/context-description/ArchaeologicalExcavation
245,https://w3id.org/arco/ontology/context-description/ArchaeologicalFieldSurvey
246,https://w3id.org/arco/ontology/context-description/ArchaeologicalPropertySurvey
247,https://w3id.org/arco/ontology/context-description/ArchaeologicalPropertySurveyType
248,https://w3id.org/arco/ontology/context-description/ArchaeometricDiagnosticSurvey
249,https://w3id.org/arco/ontology/context-description/ArchaeometricDiagnosticSurveyType
250,https://w3id.org/arco/ontology/context-description/ArchivalFonds
251,https://w3id.org/arco/ontology/context-description/ArchivalRecord
252,https://w3id.org/arco/ontology/context-description/ArchivalRecordSet
253,https://w3id.org/arco/ontology/context-description/ArchivalRecordSetMembership
254,https://w3id.org/arco/ontology/context-description/ArchivalSeries
255,https://w3id.org/arco/ontology/context-description/ArchivalSubseries
256,https://w3id.org/arco/ontology/context-description/AudioDocumentation
257,https://w3id.org/arco/ontology/context-description/AuthorshipAttribution
258,https://w3id.org/arco/ontology/context-description/Bibliography
259,https://w3id.org/arco/ontology/context-description/BibliographyCategory
260,https://w3id.org/arco/ontology/context-description/BibliographyType
261,https://w3id.org/arco/ontology/context-description/BiologicalTaxon
262,https://w3id.org/arco/ontology/context-description/BiologicalTaxonomy
263,https://w3id.org/arco/ontology/context-description/ChangeOfAvailability
264,https://w3id.org/arco/ontology/context-description/ChangeOfAvailabilityType
265,https://w3id.org/arco/ontology/context-description/Circumstance
266,https://w3id.org/arco/ontology/context-description/CircumstanceType
267,https://w3id.org/arco/ontology/context-description/CoinIssuance
268,https://w3id.org/arco/ontology/context-description/CollectionMembership
269,https://w3id.org/arco/ontology/context-description/Commission
270,https://w3id.org/arco/ontology/context-description/Competition
271,https://w3id.org/arco/ontology/context-description/ConservationIntervention
272,https://w3id.org/arco/ontology/context-description/Copy
273,https://w3id.org/arco/ontology/context-description/Copyright
274,https://w3id.org/arco/ontology/context-description/CulturalPropertyEstimate
275,https://w3id.org/arco/ontology/context-description/CulturalPropertyPlanning
276,https://w3id.org/arco/ontology/context-description/CulturalPropertyRealization
277,https://w3id.org/arco/ontology/context-description/CulturalPropertyStage
278,https://w3id.org/arco/ontology/context-description/CulturalScope
279,https://w3id.org/arco/ontology/context-description/CulturalScopeAttribution
280,https://w3id.org/arco/ontology/context-description/CurrentInventory
281,https://w3id.org/arco/ontology/context-description/Dating
282,https://w3id.org/arco/ontology/context-description/DerivatedWork
283,https://w3id.org/arco/ontology/context-description/DerivatedWorkType
284,https://w3id.org/arco/ontology/context-description/DetectionMethod
285,https://w3id.org/arco/ontology/context-description/Documentation
286,https://w3id.org/arco/ontology/context-description/DocumentationCategory
287,https://w3id.org/arco/ontology/context-description/DocumentationType
288,https://w3id.org/arco/ontology/context-description/Edition
289,https://w3id.org/arco/ontology/context-description/EligibleIntervention
290,https://w3id.org/arco/ontology/context-description/Estimate
291,https://w3id.org/arco/ontology/context-description/ExpiredCopyright
292,https://w3id.org/arco/ontology/context-description/ExportImportCertification
293,https://w3id.org/arco/ontology/context-description/ExportImportCertificationType
294,https://w3id.org/arco/ontology/context-description/Facsimile
295,https://w3id.org/arco/ontology/context-description/FairMarketCircumstance
296,https://w3id.org/arco/ontology/context-description/FilmDocumentation
297,https://w3id.org/arco/ontology/context-description/FinalWork
298,https://w3id.org/arco/ontology/context-description/FindingContext
299,https://w3id.org/arco/ontology/context-description/FindingContextType
300,https://w3id.org/arco/ontology/context-description/Forgery
301,https://w3id.org/arco/ontology/context-description/Format
302,https://w3id.org/arco/ontology/context-description/Fruition
303,https://w3id.org/arco/ontology/context-description/Genus
304,https://w3id.org/arco/ontology/context-description/GraphicOrCartographicDocumentation
305,https://w3id.org/arco/ontology/context-description/Herbarium
306,https://w3id.org/arco/ontology/context-description/IndeterminateCircumstance
307,https://w3id.org/arco/ontology/context-description/Inspection
308,https://w3id.org/arco/ontology/context-description/Interpretation
309,https://w3id.org/arco/ontology/context-description/InterpretationCriterion
310,https://w3id.org/arco/ontology/context-description/Intervention
311,https://w3id.org/arco/ontology/context-description/InterventionType
312,https://w3id.org/arco/ontology/context-description/Inventory
313,https://w3id.org/arco/ontology/context-description/InventorySituation
314,https://w3id.org/arco/ontology/context-description/LaboratoryTest
315,https://w3id.org/arco/ontology/context-description/LaboratoryTestType
316,https://w3id.org/arco/ontology/context-description/LegalSituation
317,https://w3id.org/arco/ontology/context-description/LifeCycleCircumstance
318,https://w3id.org/arco/ontology/context-description/Membership
319,https://w3id.org/arco/ontology/context-description/MultimediaDocumentation
320,https://w3id.org/arco/ontology/context-description/NoLongerInPublication
321,https://w3id.org/arco/ontology/context-description/NumismaticSeries
322,https://w3id.org/arco/ontology/context-description/NumismaticSeriesMembership
323,https://w3id.org/arco/ontology/context-description/ObservationSurvey
324,https://w3id.org/arco/ontology/context-description/ObservationSurveyType
325,https://w3id.org/arco/ontology/context-description/PaleopathologySurvey
326,https://w3id.org/arco/ontology/context-description/PhotoInterpretationRendering
327,https://w3id.org/arco/ontology/context-description/PhotographicDocumentation
328,https://w3id.org/arco/ontology/context-description/PhotographicFonds
329,https://w3id.org/arco/ontology/context-description/PhotographicRecordSet
330,https://w3id.org/arco/ontology/context-description/PhotographicSeries
331,https://w3id.org/arco/ontology/context-description/PhotographicSeriesMembership
332,https://w3id.org/arco/ontology/context-description/PhotographicSubseries
333,https://w3id.org/arco/ontology/context-description/PreferredAuthorshipAttribution
334,https://w3id.org/arco/ontology/context-description/PreparatoryOrFinalWork
335,https://w3id.org/arco/ontology/context-description/PreparatoryWork
336,https://w3id.org/arco/ontology/context-description/PrintInPublication
337,https://w3id.org/arco/ontology/context-description/PrintingPlatesSeries
338,https://w3id.org/arco/ontology/context-description/PrintingPlatesSeriesMembership
339,https://w3id.org/arco/ontology/context-description/ProductionCycleCircumstance
340,https://w3id.org/arco/ontology/context-description/Profession
341,https://w3id.org/arco/ontology/context-description/ProtectiveMeasure
342,https://w3id.org/arco/ontology/context-description/ReferenceCatalogue
343,https://w3id.org/arco/ontology/context-description/RelatedWorkSituation
344,https://w3id.org/arco/ontology/context-description/Reliability
345,https://w3id.org/arco/ontology/context-description/Reproduction
346,https://w3id.org/arco/ontology/context-description/ReproductionPosition
347,https://w3id.org/arco/ontology/context-description/Research
348,https://w3id.org/arco/ontology/context-description/Responsibility
349,https://w3id.org/arco/ontology/context-description/ResponsibilityType
350,https://w3id.org/arco/ontology/context-description/Reuse
351,https://w3id.org/arco/ontology/context-description/SECCategory
352,https://w3id.org/arco/ontology/context-description/SECIdentifier
353,https://w3id.org/arco/ontology/context-description/SameAuthorCopy
354,https://w3id.org/arco/ontology/context-description/Scale
355,https://w3id.org/arco/ontology/context-description/SeasonCycleCircumstance
356,https://w3id.org/arco/ontology/context-description/SexInterpretation
357,https://w3id.org/arco/ontology/context-description/SocialInteractionCircumstance
358,https://w3id.org/arco/ontology/context-description/SourceAndDocument
359,https://w3id.org/arco/ontology/context-description/Species
360,https://w3id.org/arco/ontology/context-description/SpecimenCollection
361,https://w3id.org/arco/ontology/context-description/SpecimenCollectionMembership
362,https://w3id.org/arco/ontology/context-description/StratigraphicUnit
363,https://w3id.org/arco/ontology/context-description/Subject
364,https://w3id.org/arco/ontology/context-description/Subspecies
365,https://w3id.org/arco/ontology/context-description/Survey
366,https://w3id.org/arco/ontology/context-description/SurveyImage
367,https://w3id.org/arco/ontology/context-description/SurveyImageType
368,https://w3id.org/arco/ontology/context-description/SurveyMethod
369,https://w3id.org/arco/ontology/context-description/SurveyMotivation
370,https://w3id.org/arco/ontology/context-description/SurveyType
371,https://w3id.org/arco/ontology/context-description/Title
372,https://w3id.org/arco/ontology/context-description/TitleType
373,https://w3id.org/arco/ontology/context-description/Tomb
374,https://w3id.org/arco/ontology/context-description/UrbanPlanningInstrument
375,https://w3id.org/arco/ontology/context-description/Use
376,https://w3id.org/arco/ontology/context-description/UseFunction
377,https://w3id.org/arco/ontology/context-description/UseType
378,https://w3id.org/arco/ontology/context-description/UseTypeSpecification
379,https://w3id.org/arco/ontology/context-description/UserSocialCategory
380,https://w3id.org/arco/ontology/context-description/WorkCircumstance
381,https://w3id.org/arco/ontology/context-description/YearCycleCircumstance
382,https://w3id.org/arco/ontology/core/AgentRole
383,https://w3id.org/arco/ontology/core/Category
384,https://w3id.org/arco/ontology/core/Classification
385,https://w3id.org/arco/ontology/core/ClassificationInTime
386,https://w3id.org/arco/ontology/core/Concept
387,https://w3id.org/arco/ontology/core/CulturalEntityCharacteristic
388,https://w3id.org/arco/ontology/core/CulturalEntityClassification
389,https://w3id.org/arco/ontology/core/Event
390,https://w3id.org/arco/ontology/core/Method
391,https://w3id.org/arco/ontology/core/Situation
392,https://w3id.org/arco/ontology/core/TimeIndexedClassification
393,https://w3id.org/arco/ontology/core/TimeIndexedEvent
394,https://w3id.org/arco/ontology/core/TimeIndexedSituation
395,https://w3id.org/arco/ontology/core/Type
396,https://w3id.org/arco/ontology/cultural-event/Exhibition
397,https://w3id.org/arco/ontology/cultural-event/RecurrentEvent
398,https://w3id.org/arco/ontology/cultural-event/RecurrentTimePeriod
399,https://w3id.org/arco/ontology/cultural-event/TimePeriod
